68726,8373,0.156813,movie
68726,53182,0.153987,movie
68726,99861,0.152693,movie
68726,39254,0.151495,movie
68726,25763,0.151495,movie
68726,271110,0.151495,movie
38356,8373,0.369136,movie
38356,1858,0.295269,movie
38356,91314,0.256748,movie
38356,2157,0.24535,movie
38356,1687,0.226294,movie
38356,118340,0.193448,movie
38356,200,0.193448,movie
38356,146631,0.192626,movie
38356,43630,0.189832,movie
38356,95,0.187908,movie
38356,811,0.184274,movie
38356,80274,0.183169,movie
38356,76757,0.179374,movie
38356,11260,0.177571,movie
38356,8536,0.175494,movie
217,85,0.307996,movie
217,2059,0.294884,movie
217,89,0.259706,movie
217,87,0.238332,movie
217,1771,0.208514,movie
217,1995,0.202289,movie
217,1370,0.195047,movie
217,16577,0.19356,movie
217,1996,0.188434,movie
217,16353,0.175835,movie
217,49521,0.174456,movie
217,12227,0.169675,movie
217,100042,0.169128,movie
217,9703,0.169128,movie
217,355629,0.167183,movie
105864,10137,0.30443,movie
105864,10198,0.286251,movie
105864,49519,0.278639,movie
105864,19933,0.270604,movie
105864,9023,0.266733,movie
105864,283671,0.266733,movie
105864,228326,0.262152,movie
105864,12144,0.262152,movie
105864,10567,0.26087,movie
105864,16690,0.245358,movie
105864,10996,0.24332,movie
105864,425,0.236779,movie
105864,17610,0.233126,movie
105864,57800,0.233126,movie
105864,18162,0.232321,movie
62177,849,0.290172,movie
62177,109445,0.279616,movie
62177,10199,0.277267,movie
62177,810,0.277153,movie
62177,102651,0.241616,movie
62177,43867,0.203433,movie
62177,14517,0.202939,movie
62177,40914,0.202184,movie
62177,15511,0.197311,movie
62177,11370,0.193914,movie
62177,9678,0.19111,movie
62177,38319,0.191014,movie
62177,809,0.189832,movie
62177,65759,0.188538,movie
62177,812,0.188538,movie
188927,201,0.322329,movie
188927,54138,0.300273,movie
188927,199,0.296078,movie
188927,172,0.292685,movie
188927,200,0.292685,movie
188927,174,0.292685,movie
188927,43630,0.246183,movie
188927,9355,0.246183,movie
188927,152,0.244558,movie
188927,157,0.244558,movie
188927,80274,0.237542,movie
188927,11260,0.230283,movie
188927,16016,0.227273,movie
188927,13475,0.224989,movie
188927,168,0.223957,movie
10681,9570,0.244998,movie
10681,2277,0.24154,movie
10681,33155,0.225554,movie
10681,84329,0.219299,movie
10681,11260,0.211702,movie
10681,55301,0.202113,movie
10681,57800,0.191741,movie
10681,597,0.184932,movie
10681,177572,0.184812,movie
10681,9928,0.184812,movie
10681,36696,0.180981,movie
10681,105864,0.1788,movie
10681,192577,0.177123,movie
10681,34086,0.176471,movie
10681,9645,0.176471,movie
5174,5175,0.291276,movie
5174,944,0.253185,movie
5174,11702,0.2446,movie
5174,43630,0.240192,movie
5174,51955,0.226455,movie
5174,179,0.217571,movie
5174,2140,0.217262,movie
5174,787,0.213602,movie
5174,300671,0.213504,movie
5174,10461,0.211477,movie
5174,13807,0.209061,movie
5174,147767,0.208013,movie
5174,378237,0.208013,movie
5174,9268,0.203844,movie
5174,10204,0.20241,movie
14161,9341,0.30767,movie
14161,47933,0.269137,movie
14161,19585,0.237356,movie
14161,61984,0.233748,movie
14161,55420,0.233079,movie
14161,88751,0.232747,movie
14161,56288,0.226101,movie
14161,30379,0.222715,movie
14161,10195,0.222413,movie
14161,49521,0.220663,movie
14161,134371,0.215002,movie
14161,24432,0.209795,movie
14161,608,0.207687,movie
14161,335244,0.203879,movie
14161,146631,0.200858,movie
17979,10437,0.287494,movie
17979,13187,0.268664,movie
17979,51052,0.261861,movie
17979,9647,0.234404,movie
17979,10147,0.231908,movie
17979,11395,0.217325,movie
17979,13673,0.216025,movie
17979,175555,0.20702,movie
17979,9043,0.202837,movie
17979,14120,0.199205,movie
17979,77934,0.191943,movie
17979,175541,0.188329,movie
17979,9656,0.185164,movie
17979,340816,0.184428,movie
17979,11661,0.180439,movie
76757,80274,0.283654,movie
